state,city,name,reference
RS,Arroio do Sal,CT Arroio do Sal ,
RS,Arroio do Tigre,CT Arroio do Tigre,
RS,Arroio dos Ratos,CT Arroio dos Ratos ,
RS,Arroio Grande,CT Arroio Grande,
SC,Arroio Trinta,CT Arroio Trinta,
SP,Artur Nogueira,CT Artur Nogueira,
GO,Aruanã,CT Aruanã,
SP,Arujá,CT Arujá,
SC,Arvoredo,CT Arvoredo,
RS,Arvorezinha,CT Arvorezinha,
SC,Ascurra,CT Ascurra ,
SP,Aspásia,CT Aspásia,
PR,Assaí,CT Assaí ,
CE,Assaré,CT Assaré,
SP,Assis,CT Assis ,
AC,Assis Brasil,CT Assis Brasil,
PR,Assis Chateaubriand,CT Assis Chateaubriand ,
PB,Assunção,CT Assunção,
PI,Assunção do Piauí,CT Assunção do Piauí,
MG,Astolfo Dutra,CT Astolfo Dutra,
PR,Astorga,CT Astorga,
AL,Atalaia,CT Atalaia,
PR,Atalaia,CT Atalaia ,
AM,Atalaia do Norte,CT Atalaia do Norte,
SC,Atalanta,CT Atalanta,
MG,Ataléia,CT Ataléia,
SP,Atibaia,CT Atibaia ,
ES,Atílio Vivácqua,CT Atílio Vivácqua,
TO,Augustinópolis,CT Augustinópolis,
PA,Augusto Corrêa,CT Augusto Corrêa,
MG,Augusto de Lima,CT Augusto de Lima,
RS,Augusto Pestana,CT Augusto Pestana,
RS,Áurea,CT Áurea,
BA,Aurelino Leal,CT Aurelino Leal,
SP,Auriflama,CT Auriflama,
GO,Aurilândia,CT Aurilândia,
SC,Aurora,CT Aurora,
CE,Aurora,CT Aurora ,
PA,Aurora do Pará,CT Aurora do Pará,
TO,Aurora do Tocantins,CT Aurora do Tocantins ,
AM,Autazes,CT Autazes,
SP,Avaí,CT Avaí,
SP,Avanhandava,CT Avanhandava,
SP,Avaré,CT Avaré ,
PA,Aveiro,CT Aveiro,
PI,Avelino Lopes,CT Avelino Lopes,
GO,Avelinópolis,CT Avelinópolis,
MA,Axixá,CT Axixá ,
TO,Axixá do Tocantins,CT Axixá do Tocantins,
TO,Babaçulândia,CT Babaçulândia ,
MA,Bacabal,CT Bacabal I,atuação do CRAS I
MA,Bacabal,CT Bacabal II,atuação do CRAS II
MA,Bacabeira,CT Bacabeira ,
MA,Bacuri,CT Bacuri,
MA,Bacurituba,CT Bacurituba,
SP,Bady Bassitt,CT Bady Bassitt,
MG,Baependi,CT Baependi,
RS,Bagé,CT Bagé,
PA,Bagre,CT Bagre,
PB,Baía da Traição,CT Baía da Traição,
RN,Baía Formosa,CT Baía Formosa,
BA,Baianópolis,CT Baianópolis,
PA,Baião,CT Baião,
BA,Baixa Grande,CT Baixa Grande,
PI,Baixa Grande do Ribeiro,CT Baixa Grande do Ribeiro,
CE,Baixio,CT Baixio,
ES,Baixo Guandu,CT Baixo Guandu,
SP,Balbinos,CT Balbinos,
MG,Baldim,CT Baldim,
GO,Baliza,CT Baliza,
SC,Balneário Arroio do Silva,CT Balneário Arroio do Silva,
SC,Balneário Barra do Sul,CT Balneário Barra do Sul,
